Features selected,Binary representation,Error,Lookup value
"(0, 1, 5, 6, 8)",1100011010,0.1971608832807571,0.1471608832807571
"(0, 1, 5, 6, 9)",1100011001,0.27339642481598314,0.22339642481598315
"(0, 1, 5, 7, 8)",1100010110,0.20259376095338244,0.15259376095338245
"(0, 1, 5, 7, 9)",1100010101,0.27795303189624954,0.22795303189624955
"(0, 1, 5, 8, 9)",1100010011,0.20014020329477744,0.15014020329477745
"(0, 1, 6, 7, 8)",1100001110,0.1971608832807571,0.1471608832807571
"(0, 1, 6, 7, 9)",1100001101,0.27339642481598314,0.22339642481598315
"(0, 1, 6, 8, 9)",1100001011,0.1954083420960393,0.1454083420960393
"(0, 1, 7, 8, 9)",1100000111,0.20084121976866454,0.15084121976866455
"(0, 2, 3, 4, 5)",1011110000,0.24553101997896953,0.19553101997896954
"(0, 2, 3, 4, 6)",1011101000,0.26621100595864,0.21621100595864
"(0, 2, 3, 4, 7)",1011100100,0.26621100595864,0.21621100595864
"(0, 2, 3, 4, 8)",1011100010,0.19838766211005954,0.14838766211005955
"(0, 2, 3, 4, 9)",1011100001,0.24465474938661058,0.1946547493866106
"(0, 2, 3, 5, 6)",1011011000,0.26621100595864,0.21621100595864
"(0, 2, 3, 5, 7)",1011010100,0.26621100595864,0.21621100595864
"(0, 2, 3, 5, 8)",1011010010,0.1975113915177007,0.1475113915177007
"(0, 2, 3, 5, 9)",1011010001,0.24465474938661058,0.1946547493866106
"(0, 2, 3, 6, 7)",1011001100,0.2651594812478093,0.21515948124780931
"(0, 2, 3, 6, 8)",1011001010,0.19242902208201895,0.14242902208201896
"(0, 2, 3, 6, 9)",1011001001,0.26323168594461965,0.21323168594461966
"(0, 2, 3, 7, 8)",1011000110,0.1982124079915878,0.1482124079915878
"(0, 2, 3, 7, 9)",1011000101,0.26621100595864,0.21621100595864
"(0, 2, 3, 8, 9)",1011000011,0.19733613739922884,0.14733613739922885
"(0, 2, 4, 5, 6)",1010111000,0.26638626007711186,0.21638626007711187
"(0, 2, 4, 5, 7)",1010110100,0.2665615141955836,0.21656151419558362
"(0, 2, 4, 5, 8)",1010110010,0.19908867858394674,0.14908867858394675
"(0, 2, 4, 5, 9)",1010110001,0.24763406940063093,0.19763406940063094
"(0, 2, 4, 6, 7)",1010101100,0.26533473536628116,0.21533473536628117
"(0, 2, 4, 6, 8)",1010101010,0.194006309148265,0.144006309148265
"(0, 2, 4, 6, 9)",1010101001,0.2634069400630915,0.21340694006309152
"(0, 2, 4, 7, 8)",1010100110,0.19978969505783384,0.14978969505783385
